wav_path,loudness,sharpness,roughness,wav_name,wav_no,wav_sub_no,wav_group_name
data/wav-splits/4.大阪梅田.mono.5.wav,8.748728506225216,1.2202679544759818,0.02326648748484622,4.大阪梅田.mono.5.wav,4,5,大阪梅田
data/wav-splits/5.うめだ駅構内.mono.0.wav,4.034026228790174,1.0772045563847563,0.057282785390471935,5.うめだ駅構内.mono.0.wav,5,0,うめだ駅構内
data/wav-splits/5.うめだ駅構内.mono.1.wav,3.635122750704238,1.0723005898023392,0.025722543796799103,5.うめだ駅構内.mono.1.wav,5,1,うめだ駅構内
data/wav-splits/5.うめだ駅構内.mono.2.wav,3.9103464320279446,1.1408139614609178,0.03732913908055666,5.うめだ駅構内.mono.2.wav,5,2,うめだ駅構内
data/wav-splits/5.うめだ駅構内.mono.3.wav,3.504842366608751,1.0543660469477827,0.025645760323141076,5.うめだ駅構内.mono.3.wav,5,3,うめだ駅構内
data/wav-splits/5.うめだ駅構内.mono.4.wav,3.491843717817258,1.047997534961519,0.028329452958080273,5.うめだ駅構内.mono.4.wav,5,4,うめだ駅構内
data/wav-splits/5.うめだ駅構内.mono.5.wav,3.3232850920075143,1.0763266024851725,0.035015005141509715,5.うめだ駅構内.mono.5.wav,5,5,うめだ駅構内
data/wav-splits/6.地下鉄梅田御堂筋線.mono.0.wav,7.100841740928209,1.1426400100805443,0.02394293185248228,6.地下鉄梅田御堂筋線.mono.0.wav,6,0,地下鉄梅田御堂筋線
data/wav-splits/6.地下鉄梅田御堂筋線.mono.1.wav,7.355854395022041,1.2027905930993275,0.03642756627110578,6.地下鉄梅田御堂筋線.mono.1.wav,6,1,地下鉄梅田御堂筋線
data/wav-splits/6.地下鉄梅田御堂筋線.mono.2.wav,8.768736721173797,1.129946019045807,0.027727651525403695,6.地下鉄梅田御堂筋線.mono.2.wav,6,2,地下鉄梅田御堂筋線
data/wav-splits/6.地下鉄梅田御堂筋線.mono.3.wav,16.409428791811493,0.9532914349036147,0.03459371494535216,6.地下鉄梅田御堂筋線.mono.3.wav,6,3,地下鉄梅田御堂筋線
data/wav-splits/6.地下鉄梅田御堂筋線.mono.4.wav,14.489971774522713,0.9975945633237836,0.03627712526684323,6.地下鉄梅田御堂筋線.mono.4.wav,6,4,地下鉄梅田御堂筋線
data/wav-splits/6.地下鉄梅田御堂筋線.mono.5.wav,14.866193756797708,1.1128879090733377,0.03926324592600495,6.地下鉄梅田御堂筋線.mono.5.wav,6,5,地下鉄梅田御堂筋線
data/wav-splits/7.近鉄あべの橋車内.mono.0.wav,11.123591648241046,1.1360710018806515,0.029768990308074856,7.近鉄あべの橋車内.mono.0.wav,7,0,近鉄あべの橋車内
data/wav-splits/7.近鉄あべの橋車内.mono.1.wav,11.525140927224225,1.1200120172755321,0.035843713047475544,7.近鉄あべの橋車内.mono.1.wav,7,1,近鉄あべの橋車内
data/wav-splits/7.近鉄あべの橋車内.mono.2.wav,11.427490684323839,1.104687259412097,0.038763105726803686,7.近鉄あべの橋車内.mono.2.wav,7,2,近鉄あべの橋車内
data/wav-splits/7.近鉄あべの橋車内.mono.3.wav,11.674111645551482,1.1057709806085818,0.03201977346325428,7.近鉄あべの橋車内.mono.3.wav,7,3,近鉄あべの橋車内
data/wav-splits/7.近鉄あべの橋車内.mono.4.wav,11.409385644713113,1.1247531573903808,0.03426230660839104,7.近鉄あべの橋車内.mono.4.wav,7,4,近鉄あべの橋車内
data/wav-splits/7.近鉄あべの橋車内.mono.5.wav,11.193227304028799,1.1107883470648048,0.037409274458482474,7.近鉄あべの橋車内.mono.5.wav,7,5,近鉄あべの橋車内
data/wav-splits/8.近鉄河内長野-藤井寺車内.mono.0.wav,2.5879928600749276,2.0110275084075853,0.004656350206053406,8.近鉄河内長野-藤井寺車内.mono.0.wav,8,0,近鉄河内長野-藤井寺車内
data/wav-splits/8.近鉄河内長野-藤井寺車内.mono.1.wav,1.625755555903456,1.4086464237003236,0.0036837308538591046,8.近鉄河内長野-藤井寺車内.mono.1.wav,8,1,近鉄河内長野-藤井寺車内
data/wav-splits/8.近鉄河内長野-藤井寺車内.mono.2.wav,1.4406907248336804,0.9489469453004252,0.0037936397254460727,8.近鉄河内長野-藤井寺車内.mono.2.wav,8,2,近鉄河内長野-藤井寺車内
data/wav-splits/8.近鉄河内長野-藤井寺車内.mono.3.wav,2.3620960958354362,1.0684298451148195,0.005041260319371954,8.近鉄河内長野-藤井寺車内.mono.3.wav,8,3,近鉄河内長野-藤井寺車内
data/wav-splits/8.近鉄河内長野-藤井寺車内.mono.4.wav,5.435765291771637,1.2916257214815672,0.0193441682816057,8.近鉄河内長野-藤井寺車内.mono.4.wav,8,4,近鉄河内長野-藤井寺車内
data/wav-splits/8.近鉄河内長野-藤井寺車内.mono.5.wav,5.46273433618656,1.2236944546041446,0.016992930659540304,8.近鉄河内長野-藤井寺車内.mono.5.wav,8,5,近鉄河内長野-藤井寺車内
data/wav-splits/9.白鳥神社.mono.0.wav,1.5311133014072418,1.5019027999164651,0.006580344551932887,9.白鳥神社.mono.0.wav,9,0,白鳥神社
data/wav-splits/9.白鳥神社.mono.1.wav,0.6424454324940562,1.0046535389350693,0.0028926164163712684,9.白鳥神社.mono.1.wav,9,1,白鳥神社
data/wav-splits/9.白鳥神社.mono.2.wav,0.7264885077627584,1.069990308328533,0.0030632789218867002,9.白鳥神社.mono.2.wav,9,2,白鳥神社
data/wav-splits/9.白鳥神社.mono.3.wav,0.974769264464562,1.029806901239756,0.0063621796199335124,9.白鳥神社.mono.3.wav,9,3,白鳥神社
data/wav-splits/9.白鳥神社.mono.4.wav,1.2644202346709,1.061611980648041,0.0036949505656486033,9.白鳥神社.mono.4.wav,9,4,白鳥神社
data/wav-splits/9.白鳥神社.mono.5.wav,0.7882600761578489,0.9741520805620705,0.0032809565650408676,9.白鳥神社.mono.5.wav,9,5,白鳥神社
data/wav-splits/10.古市小学校前.mono.0.wav,1.2439047794097082,1.0354332842950689,0.004985138651456593,10.古市小学校前.mono.0.wav,10,0,古市小学校前
data/wav-splits/10.古市小学校前.mono.1.wav,1.334432034474432,1.0101110866960152,0.01173858952145108,10.古市小学校前.mono.1.wav,10,1,古市小学校前
data/wav-splits/10.古市小学校前.mono.2.wav,1.1539997444438732,1.0588602926769677,0.005486321107024808,10.古市小学校前.mono.2.wav,10,2,古市小学校前
data/wav-splits/10.古市小学校前.mono.3.wav,1.3105825763938117,1.1108033184121913,0.03418794303645092,10.古市小学校前.mono.3.wav,10,3,古市小学校前
data/wav-splits/10.古市小学校前.mono.4.wav,1.5360157422573564,1.0919819563911712,0.010375842721648905,10.古市小学校前.mono.4.wav,10,4,古市小学校前
data/wav-splits/10.古市小学校前.mono.5.wav,1.143123189722339,1.0421525500743651,0.0032777639215635598,10.古市小学校前.mono.5.wav,10,5,古市小学校前
data/wav-splits/11.東大通パーク.mono.0.wav,2.365141983262617,1.0970601311093844,0.04788520006883398,11.東大通パーク.mono.0.wav,11,0,東大通パーク
data/wav-splits/11.東大通パーク.mono.1.wav,2.0730956093374058,0.9622075511671866,0.0264109162560358,11.東大通パーク.mono.1.wav,11,1,東大通パーク
data/wav-splits/11.東大通パーク.mono.2.wav,2.9500672116504147,1.1726305801221353,0.029248073664986263,11.東大通パーク.mono.2.wav,11,2,東大通パーク
data/wav-splits/11.東大通パーク.mono.3.wav,2.4975953689016808,1.1822088373159194,0.07714779748305332,11.東大通パーク.mono.3.wav,11,3,東大通パーク
data/wav-splits/11.東大通パーク.mono.4.wav,2.3622847241013156,0.9160495368863288,0.15215694744271138,11.東大通パーク.mono.4.wav,11,4,東大通パーク
data/wav-splits/11.東大通パーク.mono.5.wav,2.1410784615208427,0.9927035920177932,0.0181792557706951,11.東大通パーク.mono.5.wav,11,5,東大通パーク
data/wav-splits/12.東大通パーク2.mono.0.wav,1.9142495434558755,0.898301308292741,0.008475555545096228,12.東大通パーク2.mono.0.wav,12,0,東大通パーク2
